org_id;timestamp;latitude;longitude
1;2023-02-05 19:40:51;-56.572095;-172.067458
2;2023-08-13 18:04:18;-76.839549;-155.767195
3;2023-07-17 16:30:07;57.937777;-98.577786
4;2023-04-16 04:42:38;-2.411921;-139.246176
5;2023-03-17 08:13:46;80.271008;-11.893289
6;2023-04-25 10:59:03;60.16493;-59.32429
7;2023-06-14 08:29:56;-36.82034;156.306733
8;2023-08-21 13:23:17;-64.846411;42.986379
9;2023-04-25 06:08:50;-5.19421;-103.131961
10;2023-04-30 10:14:37;-82.534738;-89.653191
11;2023-05-09 02:22:23;34.534001;-20.195419
12;2023-05-15 10:52:20;59.900658;61.658177
13;2023-07-01 18:31:36;50.275187;10.261205
14;2023-04-15 03:04:39;-89.575288;-49.960057
15;2023-01-31 03:04:31;-76.67953;59.677759
16;2023-06-11 01:25:09;79.355176;132.943352
17;2023-04-25 01:24:20;63.466903;64.39265
18;2023-09-14 16:47:03;36.617167;-56.158655
19;2023-02-18 19:06:39;-64.280607;98.59213
